"","x"
"1",-9.74873668642203
"2",-12.0512491019216
"3",-22.3895531537492
"4",-14.0493890084068
"5",-22.4934772923007
"6",-28.4446025723962
"7",-20.0437305525885
"8",-14.7892522890848
"9",-9.46335389353868
"10",-5.66795808715933
"11",13.5331128231585
"12",19.7378060903582
"13",27.924331374259
"14",34.3100329314021
"15",66.1246545907155
"16",75.7917995876342
"17",91.4885144075373
"18",111.530591145125
"19",125.531898994586
"20",138.110522757465
"21",152.337147509847
"22",162.991557318386
"23",169.453700731557
"24",167.795502172489
"25",188.240144890851
"26",191.145149321451
"27",196.032432558172
"28",194.215703803536
"29",203.625717357167
"30",212.589707800999
"31",222.176930124935
"32",220.516595640253
"33",229.726947966098
"34",235.70518177799
"35",238.973686064479
"36",255.582766531695
"37",269.547674416717
"38",287.222557201713
"39",311.157866208113
"40",329.67486259091
"41",347.151588999636
"42",370.521781507619
"43",400.515351153992
"44",426.166848360658
"45",447.056221527252
"46",474.4789918479
"47",507.392375533716
"48",536.654074714276
"49",558.864061958345
"50",589.546554783649
"51",611.732790053642
"52",630.020743848477
"53",656.786474271853
"54",670.095445171402
"55",702.306134659883
"56",723.327792511625
"57",728.975302709366
"58",742.348792591449
"59",766.865065769922
"60",779.824726980596
"61",809.391621169814
"62",814.834334263302
"63",837.237286720555
"64",854.114217774808
"65",872.14261780421
"66",900.601700845766
"67",916.494331040814
"68",960.846898493084
"69",984.424006039253
"70",1026.72204220043
"71",1052.3517546254
"72",1082.23885775369
"73",1126.08416604441
"74",1156.71304420907
"75",1194.2318329988
"76",1241.4736988103
"77",1277.35300635694
"78",1318.81693684986
"79",1357.79749963985
"80",1392.19341142044
"81",1428.89891698771
"82",1466.40498273911
"83",1506.9713107976
"84",1526.12442664966
"85",1568.11074708952
"86",1597.09054487516
"87",1630.12690927808
"88",1652.04854610486
"89",1683.86656168229
"90",1711.83549395386
"91",1736.67093221233
"92",1775.06987330688
"93",1805.59060298678
"94",1835.47527522848
"95",1873.79315112133
"96",1904.45017147602
"97",1933.13616314298
"98",1976.65279711408
"99",2015.5346762737
"100",2063.49198066643
"101",2108.87237359478
"102",2159.99916927402
"103",2204.47592603421
"104",2260.17367622931
"105",2307.22707678041
"106",2370.85290397957
"107",2417.15300310312
"108",2469.36228123918
"109",2517.34671980823
"110",2573.55189655397
"111",2610.56357838206
"112",2658.77265216293
"113",2714.24228700744
"114",2748.48877888525
"115",2794.10411243337
"116",2835.46175337189
"117",2877.21144574896
"118",2918.17389920815
"119",2962.48740928905
"120",2999.61334758865
"121",3038.85374505672
"122",3089.74572840282
"123",3124.71569286557
"124",3169.07642433069
"125",3215.35803014255
"126",3267.22107088345
"127",3313.15130216464
"128",3365.33095332793
"129",3416.24943695442
"130",3474.23763248739
"131",3534.27500918308
"132",3590.844117477
"133",3657.68801524013
"134",3709.79156195836
"135",3782.03278930395
"136",3836.33421851502
"137",3906.06458508885
"138",3968.17001056947
"139",4030.16531911569
"140",4094.85653226214
"141",4146.17046352341
"142",4220.96379237482
"143",4264.75601363367
"144",4327.42460864444
"145",4379.56141562616
"146",4435.67169801313
"147",4503.24724281984
"148",4545.6564438215
"149",4591.58496498054
"150",4642.29697232791
"151",4705.63446787365
"152",4756.93773511339
"153",4810.19824803558
"154",4863.32739624364
"155",4918.42168229792
"156",4980.28177786512
"157",5052.51926820384
"158",5108.41279071129
"159",5170.73560511127
"160",5255.20543696074
"161",5318.09970886777
"162",5386.59535440374
"163",5466.32294952051
"164",5539.81564562416
"165",5607.40378475884
"166",5697.04697995541
"167",5760.29433057233
"168",5829.68893684064
"169",5910.70379500933
"170",5986.17870784754
"171",6069.2821526471
"172",6129.6098876542
"173",6201.36586984185
"174",6267.35649597502
"175",6333.47101193954
"176",6401.25216287754
"177",6470.74960811985
"178",6541.94569076629
"179",6601.15342982653
"180",6666.53954199193
"181",6719.2269152595
"182",6795.95001212723
"183",6858.8882139266
"184",6918.63795683544
"185",6998.46409756186
"186",7066.86396632461
"187",7148.84206074512
"188",7213.68871418725
"189",7293.50668057855
"190",7371.22843636174
"191",7457.08868717372
"192",7543.79864880573
"193",7623.37179341137
"194",7717.5353982072
"195",7794.45958606848
"196",7882.77654556867
"197",7982.77525425725
"198",8057.73217276518
"199",8151.48566658068
"200",8233.23563589583
"201",8321.78926985006
"202",8411.52524224575
"203",8493.01381798194
"204",8564.08772164839
"205",8633.71483847492
"206",8735.91410096827
"207",8804.14674092553
"208",8880.27610240285
"209",8953.94947001698
"210",9033.05054211476
"211",9106.56165320844
"212",9187.13400749324
"213",9261.78735618841
"214",9337.12316759317
"215",9430.7981751859
"216",9517.25646447569
"217",9593.97542133914
"218",9677.25267540723
"219",9776.86894587658
"220",9865.63543816415
"221",9951.30811494678
"222",10055.7992492067
"223",10149.8790326073
"224",10249.678689468
"225",10344.7171381868
"226",10459.0321771723
"227",10547.9138055411
"228",10640.7838430304
"229",10748.4117602128
"230",10846.4568943834
"231",10936.8131271498
"232",11022.6362724563
"233",11127.8784673019
"234",11226.5947988314
"235",11314.8423997712
"236",11404.9348992991
"237",11497.6155137348
"238",11577.6371725301
"239",11677.5003528541
"240",11760.4732798586
"241",11852.9200857043
"242",11944.2010729507
"243",12030.9059919829
"244",12117.5806689166
"245",12221.6738066285
"246",12301.6569146243
"247",12406.7951704853
"248",12508.2407706395
"249",12610.8271341644
"250",12720.9613033925
"251",12822.6553164464
"252",12931.8244279254
"253",13038.6822602119
"254",13148.1452106592
"255",13263.9777540331
"256",13377.7476094188
"257",13471.5539846486
"258",13597.6751078679
"259",13707.299415053
"260",13813.0146775436
"261",13928.4973246897
"262",14029.1346899061
"263",14135.6592225057
"264",14246.0293095422
"265",14353.739152647
"266",14448.7760675238
"267",14546.7004900428
"268",14643.6238992487
"269",14748.3613027383
"270",14845.8008533674
"271",14950.0888694517
"272",15055.0024301181
"273",15151.5293044482
"274",15273.2200413864
"275",15366.6390422269
"276",15479.3087756855
"277",15572.0735042861
"278",15699.2241299712
"279",15803.0765135459
"280",15930.4580022367
"281",16045.9648577582
"282",16161.750947012
"283",16291.6518274279
"284",16403.8773740211
"285",16527.5969284788
"286",16649.0111067276
"287",16774.2285726893
"288",16905.5373348586
"289",17025.5943037668
"290",17150.1668122398
"291",17263.7916673315
"292",17386.9627272736
"293",17504.3017004372
"294",17612.6109739399
"295",17744.0331625888
"296",17850.0980313238
"297",17966.6394050875
"298",18080.3451491076
"299",18187.7636391255
"300",18298.9709229012
"301",18417.8519008794
"302",18521.7940435317
"303",18651.6452768394
"304",18756.0560464495
"305",18884.12971036
"306",19003.2188028179
"307",19117.9339528532
"308",19244.3552287595
"309",19362.5349969505
"310",19497.4740163637
"311",19631.1922692727
"312",19758.2839823428
"313",19888.7598497312
"314",20022.104623105
"315",20160.3203878869
"316",20301.3622749361
"317",20429.1495910715
"318",20566.2063595351
"319",20694.955093
"320",20837.6125803315
"321",20974.2817682524
"322",21106.5660808617
"323",21233.1543894692
"324",21348.3933167008
"325",21487.551163672
"326",21613.7064710356
"327",21735.0444086626
"328",21862.4219130778
"329",21981.6962878621
"330",22113.8961538701
"331",22233.748027294
"332",22353.1851233513
"333",22485.9513361275
"334",22622.7963816263
"335",22744.187577025
"336",22881.3214895592
"337",23016.2520523863
"338",23147.5411177069
"339",23283.8961278204
"340",23423.210506303
"341",23571.6721531088
"342",23706.4713028309
"343",23858.2615884947
"344",24001.9360355345
"345",24139.1755532176
"346",24290.9722153523
"347",24450.149562367
"348",24591.855015339
"349",24743.4422090998
"350",24894.5783884679
"351",25037.1116665574
"352",25176.4672182763
"353",25316.9806892476
"354",25454.7782685195
"355",25603.0304751259
"356",25736.4069635657
"357",25864.9435253873
"358",26006.7912530486
"359",26134.4219185314
"360",26279.5237057694
